metric,band,roi_a,roi_b,delta
wpli,gamma,central,temporal,0.01349520031362772
wpli,gamma,parietal,frontal,0.012466387823224068
wpli,gamma,parietal,frontal_central,0.002476245164871216
wpli,gamma,parietal,central,-0.0012248820858076215
wpli,gamma,parietal,parietal,0.01340935006737709
wpli,gamma,parietal,occipital,0.020932627841830254
wpli,gamma,parietal,temporal,0.030757976695895195
wpli,gamma,occipital,frontal,-0.006387362722307444
wpli,gamma,occipital,frontal_central,-0.008062402717769146
wpli,gamma,occipital,central,-0.012926992028951645
wpli,gamma,occipital,parietal,0.020932627841830254
wpli,gamma,occipital,occipital,-0.033981356769800186
wpli,gamma,occipital,temporal,-0.01872878521680832
wpli,gamma,temporal,frontal,0.00632860604673624
wpli,gamma,temporal,frontal_central,0.01583925634622574
wpli,gamma,temporal,central,0.01349520031362772
wpli,gamma,temporal,parietal,0.030757976695895195
wpli,gamma,temporal,occipital,-0.01872878521680832
wpli,gamma,temporal,temporal,-0.003346396842971444
aec,theta,frontal,frontal,-0.0027789275627583265
aec,theta,frontal,frontal_central,-0.03099716641008854
aec,theta,frontal,central,-0.010427204892039299
aec,theta,frontal,parietal,-0.06205223500728607
aec,theta,frontal,occipital,-0.040391337126493454
aec,theta,frontal,temporal,0.021481649950146675
aec,theta,frontal_central,frontal,-0.03099716641008854
aec,theta,frontal_central,frontal_central,-0.041936084628105164
aec,theta,frontal_central,central,-0.03792309761047363
aec,theta,frontal_central,parietal,-0.04980376735329628
aec,theta,frontal_central,occipital,-0.04128144308924675
aec,theta,frontal_central,temporal,0.008732238784432411
aec,theta,central,frontal,-0.010427204892039299
aec,theta,central,frontal_central,-0.03792309761047363
aec,theta,central,central,-0.0006145023507997394
aec,theta,central,parietal,0.005045093130320311
aec,theta,central,occipital,-0.030420375987887383
aec,theta,central,temporal,0.06238029524683952
aec,theta,parietal,frontal,-0.06205223500728607
aec,theta,parietal,frontal_central,-0.04980376735329628
aec,theta,parietal,central,0.005045093130320311
aec,theta,parietal,parietal,-0.03706826642155647
aec,theta,parietal,occipital,-0.03377210348844528
aec,theta,parietal,temporal,0.030685238540172577
aec,theta,occipital,frontal,-0.040391337126493454
aec,theta,occipital,frontal_central,-0.04128144308924675
aec,theta,occipital,central,-0.030420375987887383
aec,theta,occipital,parietal,-0.03377210348844528
aec,theta,occipital,occipital,0.0024247898254543543
