ablation,n,positives,positive_rate,pr_auc,roc_auc,threshold,balanced_accuracy,f1_positive,precision_positive,recall_positive,tn,fp,fn,tp
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.0,0.5,0.08746355685131195,0.04573170731707317,1.0,0,626,0,30
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.005,0.5071884984025559,0.08862629246676514,0.04636785162287481,1.0,9,617,0,30
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.01,0.5072949946751864,0.08854961832061069,0.0464,0.9666666666666667,30,596,1,29
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.015,0.5082002129925453,0.08860759493670886,0.046511627906976744,0.9333333333333333,52,574,2,28
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.02,0.5529286474973376,0.09722222222222222,0.05128205128205128,0.9333333333333333,108,518,2,28
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.025,0.5603301384451544,0.0994263862332696,0.05273833671399594,0.8666666666666667,159,467,4,26
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.03,0.5470713525026625,0.0970464135021097,0.0518018018018018,0.7666666666666667,205,421,7,23
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.035,0.4988817891373802,0.08470588235294117,0.04556962025316456,0.6,249,377,12,18
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.04,0.5165601703940362,0.08923884514435695,0.04843304843304843,0.5666666666666667,292,334,13,17
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.045,0.5294462193823216,0.09329446064139942,0.051118210862619806,0.5333333333333333,329,297,14,16
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.05,0.5375399361022364,0.09646302250803858,0.05338078291814947,0.5,360,266,15,15
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.055,0.5575079872204474,0.1048951048951049,0.05859375,0.5,385,241,15,15
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.06,0.54653887113951,0.1015625,0.05752212389380531,0.43333333333333335,413,213,17,13
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.065,0.5673056443024493,0.11304347826086956,0.065,0.43333333333333335,439,187,17,13
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.07,0.5443556975505858,0.10232558139534884,0.05945945945945946,0.36666666666666664,452,174,19,11
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.075,0.5293929712460064,0.09473684210526316,0.05625,0.3,475,151,21,9
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.08,0.5429712460063898,0.10404624277456648,0.06293706293706294,0.3,492,134,21,9
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.085,0.5573482428115016,0.11612903225806452,0.072,0.3,510,116,21,9
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.09,0.5486687965921193,0.1111111111111111,0.07017543859649122,0.26666666666666666,520,106,22,8
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.095,0.5582534611288605,0.12121212121212122,0.0784313725490196,0.26666666666666666,532,94,22,8
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.1,0.5670394036208732,0.1322314049586777,0.08791208791208792,0.26666666666666666,543,83,22,8
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.105,0.5607561235356763,0.1308411214953271,0.09090909090909091,0.23333333333333334,556,70,23,7
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.11,0.56395101171459,0.13592233009708737,0.0958904109589041,0.23333333333333334,560,66,23,7
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.115,0.5536741214057508,0.1276595744680851,0.09375,0.2,568,58,24,6
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.12,0.5417997870074548,0.11494252873563218,0.08771929824561403,0.16666666666666666,574,52,25,5
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.125,0.5291267305644303,0.09876543209876543,0.0784313725490196,0.13333333333333333,579,47,26,4
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.13,0.5315228966986155,0.10256410256410256,0.08333333333333333,0.13333333333333333,582,44,26,4
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.135,0.5371139510117146,0.11267605633802817,0.0975609756097561,0.13333333333333333,589,37,26,4
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.14,0.5061767838125666,0.06060606060606061,0.05555555555555555,0.06666666666666667,592,34,28,2
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.145,0.506975505857295,0.06153846153846154,0.05714285714285714,0.06666666666666667,593,33,28,2
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.15,0.512566560170394,0.06896551724137931,0.07142857142857142,0.06666666666666667,600,26,28,2
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.155,0.5165601703940362,0.07547169811320754,0.08695652173913043,0.06666666666666667,605,21,28,2
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.16,0.51975505857295,0.08163265306122448,0.10526315789473684,0.06666666666666667,609,17,28,2
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.165,0.5038871139510117,0.0425531914893617,0.058823529411764705,0.03333333333333333,610,16,29,1
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.17,0.48801916932907347,0.0,0.0,0.0,611,15,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.17500000000000002,0.48881789137380194,0.0,0.0,0.0,612,14,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.18,0.4904153354632588,0.0,0.0,0.0,614,12,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.185,0.49121405750798725,0.0,0.0,0.0,615,11,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.19,0.4928115015974441,0.0,0.0,0.0,617,9,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.195,0.4928115015974441,0.0,0.0,0.0,617,9,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.2,0.4952076677316294,0.0,0.0,0.0,620,6,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.20500000000000002,0.4976038338658147,0.0,0.0,0.0,623,3,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.21,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.215,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.22,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.225,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.23,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.23500000000000001,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.24,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.245,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.25,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.255,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.26,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.265,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.27,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.275,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.28,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.28500000000000003,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.29,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.295,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.3,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.305,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.31,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.315,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.32,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.325,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.33,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.335,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.34,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.34500000000000003,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.35000000000000003,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.355,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.36,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.365,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.37,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.375,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.38,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.385,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.39,0.5,0.0,0.0,0.0,626,0,30,0
all_modalities,656,30,0.04573170731707317,0.06454287146833317,0.569062832800852,0.395,0.5,0.0,0.0,0.0,626,0,30,0
