roc_auc,pr_auc,balanced_accuracy,f1_positive,precision_positive,recall_positive,tn,fp,fn,tp,n,positives,positive_rate,ablation,test_subject
0.7714285714285715,0.058823529411764705,0.5,0.0,0.0,0.0,70,0,1,0,71,1,0.014084507042253521,eye_mouse,15
0.2361111111111111,0.04139957264957265,0.5,0.0,0.0,0.0,72,0,4,0,76,4,0.05263157894736842,eye_mouse,16
0.43359375,0.10477711332761044,0.5,0.0,0.0,0.0,64,0,8,0,72,8,0.1111111111111111,eye_mouse,17
0.09210526315789469,0.014285714285714285,0.5,0.0,0.0,0.0,76,0,1,0,77,1,0.012987012987012988,eye_mouse,18
0.07042253521126762,0.014925373134328358,0.5,0.0,0.0,0.0,71,0,1,0,72,1,0.013888888888888888,eye_mouse,20
,,1.0,0.0,0.0,0.0,67,0,0,0,67,0,0.0,eye_mouse,21
0.4726890756302521,0.10209783691792687,0.5,0.0,0.0,0.0,68,0,7,0,75,7,0.09333333333333334,eye_mouse,22
,,1.0,0.0,0.0,0.0,76,0,0,0,76,0,0.0,eye_mouse,23
0.4516129032258065,0.1174485016450404,0.5,0.0,0.0,0.0,62,0,8,0,70,8,0.11428571428571428,all_modalities,14
0.1428571428571429,0.01639344262295082,0.5,0.0,0.0,0.0,70,0,1,0,71,1,0.014084507042253521,all_modalities,15
0.4444444444444445,0.05670320820458879,0.5,0.0,0.0,0.0,72,0,4,0,76,4,0.05263157894736842,all_modalities,16
0.73828125,0.2674953742494065,0.5,0.0,0.0,0.0,64,0,8,0,72,8,0.1111111111111111,all_modalities,17
0.13157894736842102,0.014925373134328358,0.5,0.0,0.0,0.0,76,0,1,0,77,1,0.012987012987012988,all_modalities,18
0.7605633802816901,0.05555555555555555,0.5,0.0,0.0,0.0,71,0,1,0,72,1,0.013888888888888888,all_modalities,20
,,1.0,0.0,0.0,0.0,67,0,0,0,67,0,0.0,all_modalities,21
0.6491596638655461,0.15709927631739834,0.5,0.0,0.0,0.0,68,0,7,0,75,7,0.09333333333333334,all_modalities,22
,,1.0,0.0,0.0,0.0,76,0,0,0,76,0,0.0,all_modalities,23
