metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects
wpli,facet_reset_once,beta,frontal_central,parietal,-0.011768992058932781,-2.198649888849636,0.0011339578082864637,0.02381311397401574,0.015625,0.328125,0.029850746268656716,decrease,True,7
aec,facet_reset_once,gamma,frontal,central,-0.027110112830996513,-1.7246436310060889,0.003838823827025005,0.040307650183762554,0.015625,0.109375,0.014925373134328358,decrease,True,7
aec,facet_reset_once,gamma,occipital,occipital,-0.10303746908903122,-2.369530685836863,0.0007652050891998591,0.01606930687319704,0.015625,0.109375,0.014925373134328358,decrease,True,7
