id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
967,47460be4-ab0c-453a-8eaf-8588fde55007,,,SCENARIO_TRIGGERED,"{""scenarioId"":1,""status"":""triggered"",""details"":{""name"":""Slow Image Load"",""type"":""slow_image"",""timestamp"":1766738059494}}",http://localhost:3000/products?category=electronics&search=c,1766738059501,,2025-12-26 08:34:19
968,47460be4-ab0c-453a-8eaf-8588fde55007,,,SCENARIO_TRIGGERED,"{""scenarioId"":1,""status"":""triggered"",""details"":{""name"":""Slow Image Load"",""type"":""slow_image"",""timestamp"":1766738110499}}",http://localhost:3000/products?category=home,1766738110513,,2025-12-26 08:35:10
969,47460be4-ab0c-453a-8eaf-8588fde55007,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766738160499}}",http://localhost:3000/cart,1766738160511,,2025-12-26 08:36:00
970,47460be4-ab0c-453a-8eaf-8588fde55007,,,SCENARIO_TRIGGERED,"{""scenarioId"":10,""status"":""triggered"",""details"":{""name"":""Price Change Warning"",""type"":""price_change"",""timestamp"":1766738210508}}",http://localhost:3000/checkout,1766738210538,,2025-12-26 08:36:50
971,47460be4-ab0c-453a-8eaf-8588fde55007,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766738261504}}",http://localhost:3000/checkout,1766738261528,,2025-12-26 08:37:41
972,86ccba60-cf7a-4415-bb8e-03f2ef788fb4,,control,page_view,"{""url"":""http://localhost:3000/cart""}",http://localhost:3000/cart,1766738310747,,2025-12-26 08:38:33
973,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766738925856}}",http://localhost:3000/,1766738925958,,2025-12-26 08:48:46
974,d63f258f-d166-466a-9c28-4314e59d1f24,10,variant_a,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766738923104,,2025-12-26 08:48:46
975,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":15,""status"":""triggered"",""details"":{""name"":""Overlay Blocking"",""type"":""overlay_blocking"",""timestamp"":1766738976861}}",http://localhost:3000/,1766738976896,,2025-12-26 08:49:36
976,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766739026867}}",http://localhost:3000/,1766739026898,,2025-12-26 08:50:27
977,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766739081109}}",http://localhost:3000/,1766739081129,,2025-12-26 08:51:21
978,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766739132114}}",http://localhost:3000/,1766739132133,,2025-12-26 08:52:12
979,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":15,""status"":""triggered"",""details"":{""name"":""Overlay Blocking"",""type"":""overlay_blocking"",""timestamp"":1766739190855}}",http://localhost:3000/,1766739190874,,2025-12-26 08:53:10
