id,session_id,scenario_id,status,triggered_at
1000,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743873876
1001,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743877879
1002,3e735bad-5746-4afa-a7ea-81f929178658,5,triggered,1766743879873
1003,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743881872
1004,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743882865
1005,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743883876
1006,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743884859
1007,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743885876
1008,3e735bad-5746-4afa-a7ea-81f929178658,16,triggered,1766743886881
1009,3e735bad-5746-4afa-a7ea-81f929178658,5,triggered,1766743887869
1010,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743890878
1011,3e735bad-5746-4afa-a7ea-81f929178658,16,triggered,1766743891865
1012,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743892866
1013,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743893870
1014,3e735bad-5746-4afa-a7ea-81f929178658,16,triggered,1766743894861
1015,3e735bad-5746-4afa-a7ea-81f929178658,16,triggered,1766743895885
1016,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743896873
1017,3e735bad-5746-4afa-a7ea-81f929178658,5,triggered,1766743897867
1018,3e735bad-5746-4afa-a7ea-81f929178658,6,triggered,1766743899861
1019,3e735bad-5746-4afa-a7ea-81f929178658,16,triggered,1766743902870
