condition,acc_mean,acc_std,bal_acc_mean,bal_acc_std,auc_mean,auc_std
full,0.9916399572649574,0.01566164251183307,0.9916399572649574,0.01566164251183307,1.0,0.0
no_eeg,0.5234856930509104,0.027073563229555144,0.5234856930509104,0.027073563229555144,0.5997301198038055,0.11491913347217647
no_eye,0.9933760683760684,0.015626072904942084,0.9933760683760684,0.015626072904942084,1.0,0.0
no_mouse,0.8888888888888888,0.20786985482077452,0.8888888888888888,0.20786985482077452,1.0,0.0
eeg_only,1.0,0.0,1.0,0.0,1.0,0.0
eye_only,0.496415770609319,0.010137731629914668,0.496415770609319,0.010137731629914668,0.50155560833617,0.08751017327990228
mouse_only,0.5368972965440357,0.046392723751321446,0.5368972965440357,0.046392723751321446,0.5280317992908953,0.11693627735378531
