feature,n_subjects,variant_mean,control_mean,wilcoxon_p,rank_biserial,cohens_d,p_fdr,significant
delta_power,9,-25.609875891208155,-11.689585979468848,0.00390625,0.0,-116.68621893634725,0.00390625,True
theta_power,9,-25.991672632136787,-11.999395996856451,0.00390625,0.0,-205.41618325198363,0.00390625,True
alpha_power,9,-26.118432906641758,-12.12646850701784,0.00390625,0.0,-120.2451640845299,0.00390625,True
beta_power,9,-25.673774865815467,-12.385115004827465,0.00390625,0.0,-156.72567127680392,0.00390625,True
gamma_power,9,-26.351881825563424,-12.589026369605165,0.00390625,0.0,-213.05044821491455,0.00390625,True
