scenario,n_epochs,feature,n_subjects_paired,ctrl_mean,scen_mean,pct_change,cohens_d,p_wilcoxon,p_fdr,significant
broken_image,10,frontal_theta,9,0.5834265599648157,1.5427681737475925,164.4322832467892,0.4466218946768543,0.203125,0.20861486486486486,False
broken_image,10,frontal_alpha,9,0.13406980260171825,1.1506113792873092,758.2181492033797,0.39366867217046986,0.30078125,0.30078125,False
broken_image,10,frontal_beta,9,0.4938000937302907,0.803682910071479,62.75470989434214,0.16789451631565927,0.5703125,0.67724609375,False
broken_image,10,frontal_gamma,9,0.4947039749887254,1.1088702347543504,124.14823625694011,0.3689801928594398,0.25,0.30078125,False
broken_image,10,frontal_central_theta,9,0.7257402986288071,1.3728717333740659,89.16845817694869,0.25794409716642724,0.359375,0.4877232142857143,False
broken_image,10,frontal_central_alpha,9,0.09801791939470503,0.27966948681407505,185.3248552466806,0.08851822332845338,1.0,1.0,False
broken_image,10,frontal_central_beta,9,0.5129477994309531,1.2292869173818164,139.6514652379626,0.670272728132368,0.09765625,0.1440716911764706,False
broken_image,10,frontal_central_gamma,9,0.6023638844490051,0.6114859879016876,1.5143841931214534,0.007966632587376657,0.8203125,0.9881696428571428,False
broken_image,10,central_theta,9,0.49323850052638185,0.9133502311176724,85.17415612483111,0.12529776739064116,0.49609375,0.67724609375,False
broken_image,10,central_alpha,9,0.25249503138992524,0.2656653556558821,5.216072644376919,0.007353391525070853,0.91015625,1.0,False
broken_image,10,central_beta,9,0.38715988569310866,1.1606418208943472,199.78359421631131,0.47272971096174976,0.1640625,0.20861486486486486,False
broken_image,10,central_gamma,9,0.5837782091564603,-0.11367804350124465,-119.47281374993986,-0.4257956669294944,0.25,0.30078125,False
broken_image,10,parietal_theta,9,0.6132030967209074,1.4490229719214969,136.30392271888664,0.30595289231287776,0.203125,0.20861486486486486,False
broken_image,10,parietal_alpha,9,0.5113841394583384,0.5838683015770383,14.174112279137463,0.034619037309161174,0.65234375,0.7511837121212122,False
broken_image,10,parietal_beta,9,0.44872217377026874,0.884844978650411,97.19216706376336,0.1910066097407454,0.65234375,0.6885850694444444,False
broken_image,10,parietal_gamma,9,0.6185507620167401,0.4303183290693495,-30.431202170577095,-0.1037409307791942,0.8203125,0.9881696428571428,False
broken_image,10,occipital_theta,9,0.7269894373085763,2.6601211296187506,265.9091855861081,0.5926911502656919,0.203125,0.20861486486486486,False
broken_image,10,occipital_alpha,9,0.6072154885364903,1.2988511949984565,113.90284329127414,0.19425313971134237,0.8203125,0.9881696428571428,False
broken_image,10,occipital_beta,9,0.5984315946698189,0.7436560557948219,24.26751234297083,0.10452202414939038,0.91015625,0.9881696428571428,False
broken_image,10,occipital_gamma,9,0.677420073085361,1.57267517513699,132.15656539995416,0.5321430724069441,0.203125,0.20861486486486486,False
broken_image,10,temporal_theta,9,0.6985058271222644,0.6868904381990433,-1.662890769202574,-0.0034001953181390385,0.65234375,0.6885850694444444,False
broken_image,10,temporal_alpha,9,0.3371438996659385,0.16287965244717068,-51.688388056183264,-0.08454692349177578,0.8203125,0.9881696428571428,False
broken_image,10,temporal_beta,9,0.39999263485272724,0.8563029952347279,114.0796906012855,0.3104774400769733,0.42578125,0.67724609375,False
broken_image,10,temporal_gamma,9,0.3410853126810657,0.36408664782842,6.743572439344024,0.012795222965241944,1.0,1.0,False
broken_image,10,faa_dynamic,9,0.20569097664621142,0.2771482641498248,34.740117740692064,0.261613001910574,0.65234375,0.6885850694444444,False
broken_image,10,eye_0,9,0.4827802644835578,0.4904383387830522,1.5862442732824173,0.04922649018684093,1.0,1.0,False
broken_image,10,eye_1,9,0.339007169008255,0.3986000368992488,17.578645327103395,0.28214744045331525,0.734375,0.9881696428571428,False
broken_image,10,eye_2,9,0.024318421673443582,0.024242424302630954,-0.3125094692436814,-0.0011176263181089342,0.12890625,0.1440716911764706,False
broken_image,10,eye_3,9,0.08250860714664061,0.14125072304159403,71.1951369138462,0.34771406894302964,1.0,1.0,False
broken_image,10,eye_4,9,0.08373554019878308,0.14522697031497955,73.4352819564838,0.3702106236865978,1.0,1.0,False
broken_image,10,eye_5,9,55.15470843844943,57.16722287072076,3.648853360386385,0.06413174566854266,0.8203125,0.9881696428571428,False
broken_image,10,mouse_0,9,0.4740286072095235,0.5503010849157969,16.090268926843525,0.519798957519185,0.09765625,0.1440716911764706,False
broken_image,10,mouse_1,9,0.35095622804429794,0.28729233518242836,-18.140123399005116,-0.3921679050124653,0.359375,0.4877232142857143,False
broken_image,10,mouse_2,9,409.39633009168836,434.21975835164386,6.063422272102438,0.15519764341422448,0.8203125,0.9881696428571428,False
broken_image,10,mouse_3,9,-119.79638671875,-584.7764511108398,-388.14197750667637,-0.20168290660260046,0.49609375,0.67724609375,False
broken_image,10,mouse_4,9,0.3692035675048828,0.44365080032083726,20.164277744907107,0.30715299095440934,0.359375,0.4877232142857143,False
broken_image,10,mouse_5,9,0.00960993223513166,0.0,-99.99999895940995,-3.0266072455360464,0.00390625,0.0049479166666666664,True
broken_image,10,mouse_6,9,0.003825607793664353,0.0,-99.99999738603634,-1.0358682400890986,0.015625,0.024739583333333332,True
button_delay,16,frontal_theta,7,0.5033456959894725,0.23412718517439707,-53.48580764803448,-0.16666343849072635,0.9375,0.9628378378378378,False
button_delay,16,frontal_alpha,7,0.030973424536309073,0.15228090967450822,391.6502180904935,0.0689465212837946,0.6875,0.6875,False
button_delay,16,frontal_beta,7,0.5031085950987679,0.4402940102985927,-12.48529351309501,-0.07669826658754603,0.9375,1.0,False
button_delay,16,frontal_gamma,7,0.4493782009397234,0.09908442491931575,-77.95077180200002,-0.3144770343457689,0.46875,0.59375,False
button_delay,16,frontal_central_theta,7,0.4944824810538973,1.2610153875180654,155.01720195939578,0.33283189076870984,0.578125,0.6875,False
button_delay,16,frontal_central_alpha,7,0.11648629925080708,0.5044331124850682,333.04072272562337,0.6371673825157728,0.15625,0.24739583333333334,False
button_delay,16,frontal_central_beta,7,0.4210191049746105,0.5952232309750148,41.37677456929964,0.23396717847525556,0.578125,0.6875,False
button_delay,16,frontal_central_gamma,7,0.6667703943593162,0.5665108965975898,-15.036585096587373,-0.06452628133736442,0.9375,0.9895833333333334,False
button_delay,16,central_theta,7,0.5140482124739459,1.5303733593651228,197.71008283488158,0.45407967422453477,0.46875,0.6875,False
button_delay,16,central_alpha,7,0.2576718341026987,0.28692721894809176,11.353737957397062,0.026864073874032293,0.9375,0.9895833333333334,False
button_delay,16,central_beta,7,0.36579354022147265,0.49953121452459265,36.56097212257671,0.10890810835550209,0.9375,0.9895833333333334,False
button_delay,16,central_gamma,7,0.592379263469151,0.5888604266302926,-0.5940175585581893,-0.003041149240967364,1.0,1.0,False
button_delay,16,parietal_theta,7,0.3791230001619884,-0.31661476833479746,-183.51241365361756,-0.5295419909328605,0.375,0.59375,False
button_delay,16,parietal_alpha,7,0.48215235131127493,-0.23963959302221025,-149.70204795658003,-0.555701225707812,0.375,0.59375,False
button_delay,16,parietal_beta,7,0.44034549806799206,0.6365195640495845,44.550033280174915,0.23306194273280154,0.6875,0.9628378378378378,False
button_delay,16,parietal_gamma,7,0.6406297428267342,0.558046855032444,-12.890891924094577,-0.09622535559409885,0.9375,0.9895833333333334,False
button_delay,16,occipital_theta,7,0.3503533037645476,0.40396815964153837,15.303082712677703,0.027039747804337745,1.0,1.0,False
button_delay,16,occipital_alpha,7,0.5191586076148919,0.7301170996257237,40.634690222970285,0.23149979570593693,0.46875,0.59375,False
button_delay,16,occipital_beta,7,0.47080242740256445,0.5662537785246968,20.274184147364547,0.0739536121037609,0.9375,1.0,False
button_delay,16,occipital_gamma,7,0.7845398783683777,0.1671201613332544,-78.69832165070872,-0.4214299720929388,0.296875,0.3223214285714286,False
button_delay,16,temporal_theta,7,0.5710046206201825,1.1267431814755713,97.32645598462244,0.2833174035847755,0.8125,0.9628378378378378,False
button_delay,16,temporal_alpha,7,0.4830668887921742,0.532809738601957,10.297300633429666,0.03194933116222379,0.8125,0.9628378378378378,False
button_delay,16,temporal_beta,7,0.410257736487048,0.9188504048756191,123.96906213629893,0.9024053355038133,0.03125,0.04241071428571429,True
button_delay,16,temporal_gamma,7,0.31838875476803097,1.0163471038852419,219.21576640057773,0.5190812177774885,0.109375,0.19791666666666666,False
button_delay,16,faa_dynamic,7,0.23980613691466196,0.19789825805595943,-17.475732431376535,-0.17539419428698144,0.578125,0.6875,False
button_delay,16,eye_0,7,0.4963384781564985,0.5065356322697231,2.0544758385536417,0.10493153742656511,0.8125,0.9628378378378378,False
button_delay,16,eye_1,7,0.3581650512559073,0.37088785214083536,3.5522172910961802,0.11092521226315472,0.8125,0.9628378378378378,False
button_delay,16,eye_2,7,0.025482326612940857,0.037878788475479395,48.647291914058854,0.20302889621780953,0.8125,0.9628378378378378,False
button_delay,16,eye_3,7,0.08850151912442275,0.2331342702465398,163.42403202746877,0.6548178758377278,0.078125,0.08731617647058823,False
button_delay,16,eye_4,7,0.09007900447717734,0.2333787472120353,159.08228938307425,0.6494957249489934,0.078125,0.08731617647058823,False
button_delay,16,eye_5,7,57.79591751098633,55.411506107875276,-4.125570638538056,-0.12227285146624008,0.578125,0.6875,False
button_delay,16,mouse_0,7,0.48007201722690035,0.452450767159462,-5.753563855114254,-0.2004127974993905,0.8125,0.9628378378378378,False
button_delay,16,mouse_1,7,0.35692722882543293,0.3046699698482241,-14.640872072028472,-0.43215775122366334,0.296875,0.59375,False
button_delay,16,mouse_2,7,409.571535382952,409.52893707475494,-0.010400700370258162,-0.0001368979480614708,0.9375,0.9628378378378378,False
button_delay,16,mouse_3,7,-196.71450805664062,270.6774569920131,237.59913270547312,0.26503271637899317,0.6875,0.6875,False
button_delay,16,mouse_4,7,0.371011597769601,0.540192744561604,45.59996177032312,0.6798154685072847,0.15625,0.3125,False
button_delay,16,mouse_5,7,0.00955081285376634,0.0,-99.99999895296871,-3.4168035198908355,0.015625,0.04241071428571429,True
button_delay,16,mouse_6,7,0.003688915873811181,0.0,-99.99999728917653,-1.0687913772924742,0.03125,0.04241071428571429,True
coupon_expired,4,frontal_theta,4,0.5785625986754894,-0.9169793650507927,-258.49267942510494,-0.6757780632570428,0.25,0.25675675675675674,False
coupon_expired,4,frontal_alpha,4,0.28352239169180393,-1.5053847432136536,-630.9579725255306,-0.9838167875777373,0.25,0.25675675675675674,False
coupon_expired,4,frontal_beta,4,0.41311023384332657,0.16671490669250488,-59.643965921363254,-0.20765056403834412,0.875,0.875,False
coupon_expired,4,frontal_gamma,4,0.7386858761310577,0.5429777912795544,-26.494087832036296,-0.16968640863261647,0.875,0.875,False
coupon_expired,4,frontal_central_theta,4,0.9231873713433743,-0.3267865926027298,-135.3976454413376,-0.5965724692316736,0.625,0.6985294117647058,False
coupon_expired,4,frontal_central_alpha,4,-0.11381348595023155,0.426419815979898,474.66545545551406,0.29823074806160493,0.875,0.875,False
coupon_expired,4,frontal_central_beta,4,0.5335631258785725,0.4929435942322016,-7.612882088107817,-0.032928422548144765,0.875,0.875,False
coupon_expired,4,frontal_central_gamma,4,0.7683865502476692,-0.5739987455308437,-174.7018210002672,-1.1282507551377912,0.25,0.4596774193548387,False
coupon_expired,4,central_theta,4,0.3015731538180262,-0.17813292890787125,-159.06789994187994,-0.22427441149565505,0.875,0.875,False
coupon_expired,4,central_alpha,4,0.11010144092142582,-0.7664181292057037,-796.101814831432,-0.3284835136142333,0.625,0.7421875,False
coupon_expired,4,central_beta,4,0.36835156730376184,1.0947021949104965,197.18950369242182,0.43960841004163304,0.625,0.7421875,False
coupon_expired,4,central_gamma,4,0.5533011555671692,1.1678707767277956,111.07325818244132,0.5418244803467466,0.625,0.7421875,False
coupon_expired,4,parietal_theta,4,0.8524990454316139,0.10416510701179504,-87.78120542682389,-0.2192533942381869,0.875,0.875,False
coupon_expired,4,parietal_alpha,4,0.6976474598050117,-0.646345242857933,-192.64639805983617,-0.3560930945644807,0.625,0.7421875,False
coupon_expired,4,parietal_beta,4,0.4752447195351124,0.4385348930954933,-7.724404906130143,-0.018207180951041412,0.875,0.875,False
coupon_expired,4,parietal_gamma,4,0.6095709453802556,0.9042434394359589,48.34096773158095,0.2917474463818594,0.625,0.7421875,False
coupon_expired,4,occipital_theta,4,0.8131376300007105,0.5069147609174252,-37.65941431653561,-0.11051729431531016,0.875,0.875,False
coupon_expired,4,occipital_alpha,4,0.9011748433113098,-0.13430160284042358,-114.90294627311587,-0.271675971055492,0.625,0.7421875,False
coupon_expired,4,occipital_beta,4,0.8417118042707443,0.14517465699464083,-82.7524508577883,-0.8320207528615116,0.25,0.25675675675675674,False
coupon_expired,4,occipital_gamma,4,0.7386574298143387,0.6016448065638542,-18.548872278503133,-0.12662698466217057,0.875,0.875,False
coupon_expired,4,temporal_theta,4,0.8814464546740055,0.2098354995250702,-76.19418644336484,-0.24538268634271557,0.875,0.875,False
coupon_expired,4,temporal_alpha,4,0.14780786260962486,-0.7734417170286179,-623.2750834426708,-0.4175713110409292,0.625,0.7421875,False
coupon_expired,4,temporal_beta,4,0.36628327146172523,0.609869715757668,66.50220285992344,0.2973768063875058,0.625,0.7421875,False
coupon_expired,4,temporal_gamma,4,0.20855966676026583,0.3132368326187134,50.19051259253345,0.078937355115704,1.0,1.0,False
coupon_expired,4,faa_dynamic,4,0.22586632147431374,0.6048764735460281,167.8028620778746,0.6763956079809431,0.375,0.4596774193548387,False
coupon_expired,4,eye_0,4,0.45863404870033264,0.537671409547329,17.233208274382918,0.9615396100018184,0.25,0.25675675675675674,False
coupon_expired,4,eye_1,4,0.2837628349661827,0.16495360899716616,-41.869198953170304,-0.9012044302994988,0.25,0.25675675675675674,False
