metric,band,roi_a,roi_b,delta
wpli,gamma,frontal,occipital,-0.005530453287065029
wpli,gamma,frontal,temporal,0.004593461751937866
wpli,gamma,frontal_central,frontal,0.01238379254937172
wpli,gamma,frontal_central,frontal_central,-0.011325024999678135
wpli,gamma,frontal_central,central,0.01230852771550417
wpli,gamma,frontal_central,parietal,0.008550028316676617
wpli,gamma,frontal_central,occipital,-0.007307438179850578
wpli,gamma,frontal_central,temporal,0.0018120871391147375
wpli,gamma,central,frontal,-0.014945758506655693
wpli,gamma,central,frontal_central,0.01230852771550417
wpli,gamma,central,central,0.0222603939473629
wpli,gamma,central,parietal,-0.0039052399806678295
wpli,gamma,central,occipital,-0.015030390582978725
wpli,gamma,central,temporal,0.007768707349896431
wpli,gamma,parietal,frontal,-0.003262460231781006
wpli,gamma,parietal,frontal_central,0.008550028316676617
wpli,gamma,parietal,central,-0.0039052399806678295
wpli,gamma,parietal,parietal,0.02808326855301857
wpli,gamma,parietal,occipital,0.002235588151961565
wpli,gamma,parietal,temporal,0.01637001894414425
wpli,gamma,occipital,frontal,-0.005530453287065029
wpli,gamma,occipital,frontal_central,-0.007307438179850578
wpli,gamma,occipital,central,-0.015030390582978725
wpli,gamma,occipital,parietal,0.002235588151961565
wpli,gamma,occipital,occipital,-0.016407571732997894
wpli,gamma,occipital,temporal,-0.010656075552105904
wpli,gamma,temporal,frontal,0.004593461751937866
wpli,gamma,temporal,frontal_central,0.0018120871391147375
wpli,gamma,temporal,central,0.007768707349896431
wpli,gamma,temporal,parietal,0.01637001894414425
wpli,gamma,temporal,occipital,-0.010656075552105904
wpli,gamma,temporal,temporal,0.02381930500268936
aec,theta,frontal,frontal,0.011009360663592815
aec,theta,frontal,frontal_central,-0.003661154070869088
aec,theta,frontal,central,0.03157468140125275
aec,theta,frontal,parietal,0.024400649592280388
aec,theta,frontal,occipital,0.02358587644994259
aec,theta,frontal,temporal,0.007061529438942671
aec,theta,frontal_central,frontal,-0.003661154070869088
aec,theta,frontal_central,frontal_central,-0.003957146778702736
aec,theta,frontal_central,central,0.027468400076031685
aec,theta,frontal_central,parietal,0.022555526345968246
aec,theta,frontal_central,occipital,0.027911415323615074
aec,theta,frontal_central,temporal,0.010107992216944695
aec,theta,central,frontal,0.03157468140125275
aec,theta,central,frontal_central,0.027468400076031685
aec,theta,central,central,0.0460667610168457
aec,theta,central,parietal,0.017998993396759033
aec,theta,central,occipital,-0.004317609593272209
aec,theta,central,temporal,0.06896606087684631
aec,theta,parietal,frontal,0.024400649592280388
aec,theta,parietal,frontal_central,0.022555526345968246
aec,theta,parietal,central,0.017998993396759033
aec,theta,parietal,parietal,0.037304434925317764
aec,theta,parietal,occipital,0.013497469946742058
aec,theta,parietal,temporal,0.0014511181507259607
aec,theta,occipital,frontal,0.02358587644994259
aec,theta,occipital,frontal_central,0.027911415323615074
aec,theta,occipital,central,-0.004317609593272209
aec,theta,occipital,parietal,0.013497469946742058
aec,theta,occipital,occipital,0.017285287380218506
aec,theta,occipital,temporal,0.014571264386177063
aec,theta,temporal,frontal,0.007061529438942671
aec,theta,temporal,frontal_central,0.010107992216944695
aec,theta,temporal,central,0.06896606087684631
aec,theta,temporal,parietal,0.0014511181507259607
aec,theta,temporal,occipital,0.014571264386177063
aec,theta,temporal,temporal,0.042176440358161926
aec,alpha,frontal,frontal,0.08199413865804672
aec,alpha,frontal,frontal_central,0.06988269835710526
aec,alpha,frontal,central,0.08407669514417648
aec,alpha,frontal,parietal,0.06613713502883911
aec,alpha,frontal,occipital,0.1076878011226654
aec,alpha,frontal,temporal,0.06117895618081093
aec,alpha,frontal_central,frontal,0.06988269835710526
aec,alpha,frontal_central,frontal_central,0.06522008776664734
aec,alpha,frontal_central,central,0.02893172949552536
aec,alpha,frontal_central,parietal,0.06949362903833389
aec,alpha,frontal_central,occipital,0.09112897515296936
aec,alpha,frontal_central,temporal,0.06392078101634979
aec,alpha,central,frontal,0.08407669514417648
aec,alpha,central,frontal_central,0.02893172949552536
aec,alpha,central,central,0.037811268121004105
aec,alpha,central,parietal,0.07638055831193924
aec,alpha,central,occipital,0.08774816989898682
aec,alpha,central,temporal,0.053258925676345825
aec,alpha,parietal,frontal,0.06613713502883911
aec,alpha,parietal,frontal_central,0.06949362903833389
aec,alpha,parietal,central,0.07638055831193924
aec,alpha,parietal,parietal,0.07976970076560974
aec,alpha,parietal,occipital,0.11056208610534668
aec,alpha,parietal,temporal,0.0713888630270958
aec,alpha,occipital,frontal,0.1076878011226654
aec,alpha,occipital,frontal_central,0.09112897515296936
aec,alpha,occipital,central,0.08774816989898682
aec,alpha,occipital,parietal,0.11056208610534668
aec,alpha,occipital,occipital,0.06373793631792068
aec,alpha,occipital,temporal,0.09211103618144989
aec,alpha,temporal,frontal,0.06117895618081093
aec,alpha,temporal,frontal_central,0.06392078101634979
aec,alpha,temporal,central,0.053258925676345825
aec,alpha,temporal,parietal,0.0713888630270958
aec,alpha,temporal,occipital,0.09211103618144989
aec,alpha,temporal,temporal,0.05095667764544487
aec,beta,frontal,frontal,0.001476876437664032
aec,beta,frontal,frontal_central,0.0011906963773071766
aec,beta,frontal,central,0.031225016340613365
aec,beta,frontal,parietal,-0.004718301352113485
aec,beta,frontal,occipital,-0.004433747380971909
aec,beta,frontal,temporal,0.00478504179045558
aec,beta,frontal_central,frontal,0.0011906963773071766
aec,beta,frontal_central,frontal_central,0.010388725437223911
aec,beta,frontal_central,central,0.029545895755290985
aec,beta,frontal_central,parietal,0.013920504599809647
aec,beta,frontal_central,occipital,-0.006675899028778076
aec,beta,frontal_central,temporal,0.018107691779732704
aec,beta,central,frontal,0.031225016340613365
aec,beta,central,frontal_central,0.029545895755290985
aec,beta,central,central,0.021829726174473763
aec,beta,central,parietal,0.00562095083296299
aec,beta,central,occipital,0.005970326717942953
aec,beta,central,temporal,0.013829167000949383
aec,beta,parietal,frontal,-0.004718301352113485
aec,beta,parietal,frontal_central,0.013920504599809647
aec,beta,parietal,central,0.00562095083296299
aec,beta,parietal,parietal,-0.008234239183366299
aec,beta,parietal,occipital,0.03134330362081528
aec,beta,parietal,temporal,0.0011519185500219464
aec,beta,occipital,frontal,-0.004433747380971909
aec,beta,occipital,frontal_central,-0.006675899028778076
aec,beta,occipital,central,0.005970326717942953
aec,beta,occipital,parietal,0.03134330362081528
aec,beta,occipital,occipital,-0.03371720016002655
