model,acc_mean,acc_std,bal_acc_mean,bal_acc_std,auc_mean,auc_std
RF,0.891096896244464,0.046383552595317706,0.891739215315948,0.045977954241142725,0.946845823276961,0.042244032949824144
SVM,0.8338738079704813,0.058287019215481524,0.8367147559211665,0.05819256103314005,0.9121037127995444,0.051930969096343316
MLP,0.8156886748957022,0.06388002298992768,0.8130226049725405,0.0714384563016356,0.9148219194601318,0.05026303863550202
