condition,acc_mean,acc_std,bal_acc_mean,bal_acc_std,auc_mean,auc_std
full,0.9979120820437417,0.0029530100545028895,0.9981461941221065,0.0026237190122128493,0.9991649132105754,0.0023049688181563757
no_eeg,0.5381862504271795,0.02354639941308321,0.4985736694545974,0.018808656950969248,0.5068239948343602,0.061160498651233824
no_eye,0.995941689471765,0.004915390219126484,0.9959574585455712,0.005060846648407422,0.9991682761773615,0.0017629826255935023
no_mouse,0.9972698212858739,0.0030558605813854637,0.9974603230658651,0.002846807108022994,0.9999652343206785,9.833219040278805e-05
eeg_only,0.9821720486476422,0.018803008947468683,0.9801675608026845,0.021290409371094138,1.0,0.0
eye_only,0.5119971386224831,0.022338486804638374,0.5332571190140568,0.028157919651456895,0.5792673601237718,0.07012862554682162
mouse_only,0.5467178622025634,0.025074087554272408,0.5000694444444443,0.00019641855032959235,0.48901572916460956,0.07625931046093135
