condition,acc_mean,acc_std,auc_mean,auc_std
full,0.9978632478632478,0.006043647702449138,1.0,0.0
no_eeg,0.7354249946219586,0.1503296112300963,0.8929266908276444,0.11366907977993981
no_eye,0.9961271367521367,0.007295139040463505,1.0,0.0
no_mouse,1.0,0.0,1.0,0.0
eeg_only,0.9982638888888888,0.004910463758239914,1.0,0.0
eye_only,0.5122727097989467,0.030434330057147026,0.6815598526661976,0.10960121014879634
mouse_only,0.669839672238473,0.14324412857446886,0.8771537894625783,0.12106540181891699
