id,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
22,mouse_trajectory,"{""path"":[{""x"":498,""y"":40,""t"":3594},{""x"":550,""y"":154,""t"":3724},{""x"":592,""y"":234,""t"":3996},{""x"":680,""y"":456,""t"":4143},{""x"":746,""y"":546,""t"":4255},{""x"":848,""y"":568,""t"":4388},{""x"":854,""y"":568,""t"":4509},{""x"":858,""y"":558,""t"":4621},{""x"":858,""y"":558,""t"":4725},{""x"":850,""y"":558,""t"":5410},{""x"":850,""y"":558,""t"":5541},{""x"":850,""y"":558,""t"":5877},{""x"":824,""y"":548,""t"":5990},{""x"":584,""y"":366,""t"":6123},{""x"":690,""y"":398,""t"":6256}]}",http://localhost:3000/products,1774295972874,,2026-03-23 19:59:32
24,scroll,"{""scrollY"":38}",http://localhost:3000/products,1774295975757,,2026-03-23 19:59:37
25,scroll,"{""scrollY"":26}",http://localhost:3000/products,1774295976682,,2026-03-23 19:59:37
26,mouse_trajectory,"{""path"":[{""x"":756,""y"":422,""t"":6358},{""x"":810,""y"":448,""t"":6489},{""x"":818,""y"":454,""t"":6590},{""x"":1162,""y"":756,""t"":8540},{""x"":1114,""y"":724,""t"":9308},{""x"":1114,""y"":724,""t"":10409}]}",http://localhost:3000/products,1774295977638,,2026-03-23 19:59:37
28,scroll,"{""scrollY"":138}",http://localhost:3000/products,1774295977694,,2026-03-23 19:59:40
29,mouse_trajectory,"{""path"":[{""x"":1112,""y"":724,""t"":11266},{""x"":1024,""y"":660,""t"":11372},{""x"":994,""y"":648,""t"":11473},{""x"":994,""y"":648,""t"":12096},{""x"":978,""y"":722,""t"":12206},{""x"":836,""y"":692,""t"":12309},{""x"":730,""y"":630,""t"":12440},{""x"":730,""y"":610,""t"":12966},{""x"":950,""y"":858,""t"":13073},{""x"":1102,""y"":1086,""t"":13207},{""x"":1102,""y"":1086,""t"":13530}]}",http://localhost:3000/products,1774295980638,,2026-03-23 19:59:40
30,mouse_click,"{""x"":1102,""y"":1086,""target"":""IMG"",""className"":""w-full h-48 object-cover rounded-t-lg product-image""}",http://localhost:3000/products,1774295981091,,2026-03-23 19:59:43
31,scroll,"{""scrollY"":8}",http://localhost:3000/product/8,1774295981449,,2026-03-23 19:59:43
32,mouse_click,"{""x"":1102,""y"":1086,""target"":""DIV"",""className"":""mt-16""}",http://localhost:3000/product/8,1774295981951,,2026-03-23 19:59:43
33,mouse_trajectory,"{""path"":[{""x"":1102,""y"":1086,""t"":14323},{""x"":1102,""y"":1086,""t"":14958},{""x"":1102,""y"":1086,""t"":15240},{""x"":1102,""y"":1086,""t"":15454.000000000002},{""x"":1076,""y"":634,""t"":15572},{""x"":1094,""y"":548,""t"":15674.000000000002},{""x"":1094,""y"":548,""t"":15950.000000000002},{""x"":1124,""y"":606,""t"":16074},{""x"":1124,""y"":610,""t"":16337.000000000004},{""x"":1140,""y"":624,""t"":16439},{""x"":1214,""y"":554,""t"":16573},{""x"":1258,""y"":554,""t"":16706},{""x"":1266,""y"":556,""t"":16839},{""x"":1268,""y"":558,""t"":16940}]}",http://localhost:3000/product/8,1774295983637,,2026-03-23 19:59:43
35,mouse_click,"{""x"":1264,""y"":562,""target"":""BUTTON"",""className"":""w-10 h-10 rounded border hover:bg-gray-100""}",http://localhost:3000/product/8,1774295984023,,2026-03-23 19:59:47
36,mouse_click,"{""x"":1256,""y"":622,""target"":""BUTTON"",""className"":""flex-1 bg-blue-600 text-white py-3 px-6 rounded-lg hover:bg-blue-700 font-semibold add-to-cart""}",http://localhost:3000/product/8,1774295984788,,2026-03-23 19:59:47
37,mouse_click,"{""x"":526,""y"":42,""target"":""A"",""className"":""text-gray-700 hover:text-blue-600""}",http://localhost:3000/products,1774295987642,,2026-03-23 19:59:47
38,mouse_trajectory,"{""path"":[{""x"":1268,""y"":560,""t"":17072},{""x"":1266,""y"":562,""t"":17173},{""x"":1264,""y"":562,""t"":17628},{""x"":1260,""y"":586,""t"":17740},{""x"":1258,""y"":596,""t"":17872.000000000004},{""x"":1258,""y"":614,""t"":17973},{""x"":1256,""y"":622,""t"":18096},{""x"":1334,""y"":760,""t"":19545},{""x"":1330,""y"":184,""t"":19656},{""x"":1330,""y"":108,""t"":19757},{""x"":1330,""y"":108,""t"":19865},{""x"":886,""y"":84,""t"":19988},{""x"":736,""y"":84,""t"":20089},{""x"":736,""y"":84,""t"":20284},{""x"":642,""y"":54,""t"":20389},{""x"":596,""y"":48,""t"":20490},{""x"":592,""y"":48,""t"":20592},{""x"":566,""y"":48,""t"":20726},{""x"":528,""y"":44,""t"":20856},{""x"":526,""y"":42,""t"":20960},{""x"":526,""y"":42,""t"":21344}]}",http://localhost:3000/products,1774295987980,,2026-03-23 19:59:47
40,scroll,"{""scrollY"":1000}",http://localhost:3000/products,1774295988803,,2026-03-23 19:59:50
41,scroll,"{""scrollY"":1886}",http://localhost:3000/products,1774295989534,,2026-03-23 19:59:50
42,mouse_trajectory,"{""path"":[{""x"":642,""y"":82,""t"":21455},{""x"":906,""y"":300,""t"":21556},{""x"":994,""y"":396,""t"":21657},{""x"":994,""y"":396,""t"":22396},{""x"":994,""y"":396,""t"":23423},{""x"":994,""y"":396,""t"":23540},{""x"":516,""y"":604,""t"":23657.000000000004},{""x"":356,""y"":660,""t"":24120},{""x"":734,""y"":370,""t"":24223}]}",http://localhost:3000/products,1774295990981,,2026-03-23 19:59:50
