band,variant_mean,control_mean,diff
frontal_theta,0.15766964852809906,0.15683147311210632,0.0008381754159927368
frontal_alpha,0.17368750274181366,0.17325656116008759,0.0004309415817260742
parietal_alpha,0.16501371562480927,0.1644057184457779,0.0006079971790313721
central_beta,0.16553595662117004,0.16570597887039185,-0.00017002224922180176
faa_dynamic,0.15975837409496307,0.16017454862594604,-0.0004161745309829712
engagement_index,0.1783348023891449,0.1796257048845291,-0.0012909024953842163
