band,pearson_r
frontal_theta,0.04469029785442836
frontal_alpha,0.07840077021725565
parietal_alpha,-0.17107677612549638
central_beta,-0.19311873152533915
faa_dynamic,-0.06099008420121663
engagement_index,0.12929866683939847
