metric,band,roi_a,roi_b,delta
wpli,gamma,frontal,parietal,0.001992217032238841
wpli,gamma,frontal,occipital,-0.020839853212237358
wpli,gamma,frontal,temporal,-0.0012000586139038205
wpli,gamma,frontal_central,frontal,-0.0003923944022972137
wpli,gamma,frontal_central,frontal_central,-0.01210912223905325
wpli,gamma,frontal_central,central,-0.00435987114906311
wpli,gamma,frontal_central,parietal,-0.0021087187342345715
wpli,gamma,frontal_central,occipital,-0.001731421216391027
wpli,gamma,frontal_central,temporal,0.004564992152154446
wpli,gamma,central,frontal,-0.00017348358232993633
wpli,gamma,central,frontal_central,-0.00435987114906311
wpli,gamma,central,central,0.021257421001791954
wpli,gamma,central,parietal,-0.0023715454153716564
wpli,gamma,central,occipital,-0.010491839610040188
wpli,gamma,central,temporal,0.01360820047557354
wpli,gamma,parietal,frontal,0.001992217032238841
wpli,gamma,parietal,frontal_central,-0.0021087187342345715
wpli,gamma,parietal,central,-0.0023715454153716564
wpli,gamma,parietal,parietal,0.006815190892666578
wpli,gamma,parietal,occipital,0.007778491359204054
wpli,gamma,parietal,temporal,0.01240233052521944
wpli,gamma,occipital,frontal,-0.020839853212237358
wpli,gamma,occipital,frontal_central,-0.001731421216391027
wpli,gamma,occipital,central,-0.010491839610040188
wpli,gamma,occipital,parietal,0.007778491359204054
wpli,gamma,occipital,occipital,0.009251066483557224
wpli,gamma,occipital,temporal,0.016704333946108818
wpli,gamma,temporal,frontal,-0.0012000586139038205
wpli,gamma,temporal,frontal_central,0.004564992152154446
wpli,gamma,temporal,central,0.01360820047557354
wpli,gamma,temporal,parietal,0.01240233052521944
wpli,gamma,temporal,occipital,0.016704333946108818
wpli,gamma,temporal,temporal,-0.011819268576800823
aec,theta,frontal,frontal,-0.01476245652884245
aec,theta,frontal,frontal_central,-0.04569040983915329
aec,theta,frontal,central,-0.05142659693956375
aec,theta,frontal,parietal,-0.03221660852432251
aec,theta,frontal,occipital,-0.011225736699998379
aec,theta,frontal,temporal,-0.03726785257458687
aec,theta,frontal_central,frontal,-0.04569040983915329
aec,theta,frontal_central,frontal_central,0.012194163165986538
aec,theta,frontal_central,central,0.023191122338175774
aec,theta,frontal_central,parietal,-0.045106176286935806
aec,theta,frontal_central,occipital,0.01300959475338459
aec,theta,frontal_central,temporal,0.013920025900006294
aec,theta,central,frontal,-0.05142659693956375
aec,theta,central,frontal_central,0.023191122338175774
aec,theta,central,central,0.04098251461982727
aec,theta,central,parietal,-0.01788513921201229
aec,theta,central,occipital,0.021051151677966118
aec,theta,central,temporal,0.02008827216923237
aec,theta,parietal,frontal,-0.03221660852432251
aec,theta,parietal,frontal_central,-0.045106176286935806
aec,theta,parietal,central,-0.01788513921201229
aec,theta,parietal,parietal,0.010356975719332695
aec,theta,parietal,occipital,0.01648305170238018
aec,theta,parietal,temporal,-0.009980639442801476
aec,theta,occipital,frontal,-0.011225736699998379
aec,theta,occipital,frontal_central,0.01300959475338459
aec,theta,occipital,central,0.021051151677966118
aec,theta,occipital,parietal,0.01648305170238018
aec,theta,occipital,occipital,0.0050350213423371315
aec,theta,occipital,temporal,-0.003060653805732727
aec,theta,temporal,frontal,-0.03726785257458687
aec,theta,temporal,frontal_central,0.013920025900006294
aec,theta,temporal,central,0.02008827216923237
aec,theta,temporal,parietal,-0.009980639442801476
aec,theta,temporal,occipital,-0.003060653805732727
aec,theta,temporal,temporal,-0.03712933510541916
aec,alpha,frontal,frontal,0.03652689978480339
aec,alpha,frontal,frontal_central,0.010638241656124592
aec,alpha,frontal,central,-0.013514949008822441
aec,alpha,frontal,parietal,-0.00019450912077445537
aec,alpha,frontal,occipital,0.015108351595699787
aec,alpha,frontal,temporal,0.012364127673208714
aec,alpha,frontal_central,frontal,0.010638241656124592
aec,alpha,frontal_central,frontal_central,0.020561140030622482
aec,alpha,frontal_central,central,-0.012642504647374153
aec,alpha,frontal_central,parietal,0.013423149473965168
aec,alpha,frontal_central,occipital,-0.0049866545014083385
aec,alpha,frontal_central,temporal,-0.01193890068680048
aec,alpha,central,frontal,-0.013514949008822441
aec,alpha,central,frontal_central,-0.012642504647374153
aec,alpha,central,central,-0.043156228959560394
aec,alpha,central,parietal,0.009765354916453362
aec,alpha,central,occipital,-0.002233387203887105
aec,alpha,central,temporal,-0.011073882691562176
aec,alpha,parietal,frontal,-0.00019450912077445537
aec,alpha,parietal,frontal_central,0.013423149473965168
aec,alpha,parietal,central,0.009765354916453362
aec,alpha,parietal,parietal,-0.02046222984790802
aec,alpha,parietal,occipital,-0.02176751010119915
aec,alpha,parietal,temporal,0.00818691961467266
aec,alpha,occipital,frontal,0.015108351595699787
aec,alpha,occipital,frontal_central,-0.0049866545014083385
aec,alpha,occipital,central,-0.002233387203887105
aec,alpha,occipital,parietal,-0.02176751010119915
