sid,acc,f1,n_val
14,0.0,0.0,44
15,0.1,0.03181818181818182,20
16,0.04838709677419355,0.044871794871794865,62
17,0.019230769230769232,0.017687074829931974,104
18,0.043478260869565216,0.008403361344537815,46
20,0.015625,0.019230769230769232,64
21,0.034482758620689655,0.02040816326530612,58
22,0.07692307692307693,0.017204301075268817,52
23,0.0,0.0,30
