metric,band,roi_a,roi_b,delta
wpli,gamma,frontal,central,0.037960559129714966
wpli,gamma,frontal,parietal,0.0060541629791259766
wpli,gamma,frontal,occipital,0.04262879490852356
wpli,gamma,frontal,temporal,0.005774080753326416
wpli,gamma,frontal_central,frontal,-0.00742003321647644
wpli,gamma,frontal_central,frontal_central,-0.09245720505714417
wpli,gamma,frontal_central,central,0.024419188499450684
wpli,gamma,frontal_central,parietal,0.04656451940536499
wpli,gamma,frontal_central,occipital,0.023274987936019897
wpli,gamma,frontal_central,temporal,0.0532243549823761
wpli,gamma,central,frontal,0.037960559129714966
wpli,gamma,central,frontal_central,0.024419188499450684
wpli,gamma,central,central,-0.03614574670791626
wpli,gamma,central,parietal,0.02472376823425293
wpli,gamma,central,occipital,0.028562992811203003
wpli,gamma,central,temporal,0.010622948408126831
wpli,gamma,parietal,frontal,0.0060541629791259766
wpli,gamma,parietal,frontal_central,0.04656451940536499
wpli,gamma,parietal,central,0.02472376823425293
wpli,gamma,parietal,parietal,-0.005329608917236328
wpli,gamma,parietal,occipital,0.05238613486289978
wpli,gamma,parietal,temporal,-0.0034659206867218018
wpli,gamma,occipital,frontal,0.04262879490852356
wpli,gamma,occipital,frontal_central,0.023274987936019897
wpli,gamma,occipital,central,0.028562992811203003
wpli,gamma,occipital,parietal,0.05238613486289978
wpli,gamma,occipital,occipital,0.11927130818367004
wpli,gamma,occipital,temporal,-0.03866952657699585
wpli,gamma,temporal,frontal,0.005774080753326416
wpli,gamma,temporal,frontal_central,0.0532243549823761
wpli,gamma,temporal,central,0.010622948408126831
wpli,gamma,temporal,parietal,-0.0034659206867218018
wpli,gamma,temporal,occipital,-0.03866952657699585
wpli,gamma,temporal,temporal,-0.024609655141830444
aec,theta,frontal,frontal,0.18599790334701538
aec,theta,frontal,frontal_central,0.11282530426979065
aec,theta,frontal,central,0.203880175948143
aec,theta,frontal,parietal,0.04895472526550293
aec,theta,frontal,occipital,0.14974907040596008
aec,theta,frontal,temporal,0.37375548481941223
aec,theta,frontal_central,frontal,0.11282530426979065
aec,theta,frontal_central,frontal_central,0.06884084641933441
aec,theta,frontal_central,central,0.1015738993883133
aec,theta,frontal_central,parietal,0.11366182565689087
aec,theta,frontal_central,occipital,0.13082897663116455
aec,theta,frontal_central,temporal,0.24948295950889587
aec,theta,central,frontal,0.203880175948143
aec,theta,central,frontal_central,0.1015738993883133
aec,theta,central,central,0.11574548482894897
aec,theta,central,parietal,0.05309700965881348
aec,theta,central,occipital,0.2003786861896515
aec,theta,central,temporal,0.28178656101226807
aec,theta,parietal,frontal,0.04895472526550293
aec,theta,parietal,frontal_central,0.11366182565689087
aec,theta,parietal,central,0.05309700965881348
aec,theta,parietal,parietal,-0.005599811673164368
aec,theta,parietal,occipital,0.12751829624176025
aec,theta,parietal,temporal,0.13493220508098602
aec,theta,occipital,frontal,0.14974907040596008
aec,theta,occipital,frontal_central,0.13082897663116455
aec,theta,occipital,central,0.2003786861896515
aec,theta,occipital,parietal,0.12751829624176025
aec,theta,occipital,occipital,0.15069574117660522
aec,theta,occipital,temporal,0.39296287298202515
aec,theta,temporal,frontal,0.37375548481941223
aec,theta,temporal,frontal_central,0.24948295950889587
aec,theta,temporal,central,0.28178656101226807
aec,theta,temporal,parietal,0.13493220508098602
aec,theta,temporal,occipital,0.39296287298202515
aec,theta,temporal,temporal,0.46910130977630615
aec,alpha,frontal,frontal,-0.059396594762802124
aec,alpha,frontal,frontal_central,-0.06632004678249359
aec,alpha,frontal,central,-0.018722251057624817
aec,alpha,frontal,parietal,-0.09352755546569824
aec,alpha,frontal,occipital,-0.12956511974334717
aec,alpha,frontal,temporal,-0.05027758330106735
aec,alpha,frontal_central,frontal,-0.06632004678249359
aec,alpha,frontal_central,frontal_central,0.011385008692741394
aec,alpha,frontal_central,central,0.0376279354095459
aec,alpha,frontal_central,parietal,-0.013635709881782532
aec,alpha,frontal_central,occipital,-0.10263819247484207
aec,alpha,frontal_central,temporal,0.13808393478393555
aec,alpha,central,frontal,-0.018722251057624817
aec,alpha,central,frontal_central,0.0376279354095459
aec,alpha,central,central,-0.07984410971403122
aec,alpha,central,parietal,-0.07172714173793793
aec,alpha,central,occipital,-0.008982673287391663
aec,alpha,central,temporal,0.12476935982704163
aec,alpha,parietal,frontal,-0.09352755546569824
aec,alpha,parietal,frontal_central,-0.013635709881782532
aec,alpha,parietal,central,-0.07172714173793793
aec,alpha,parietal,parietal,-0.08678120374679565
aec,alpha,parietal,occipital,-0.14219532907009125
aec,alpha,parietal,temporal,0.013684220612049103
aec,alpha,occipital,frontal,-0.12956511974334717
aec,alpha,occipital,frontal_central,-0.10263819247484207
aec,alpha,occipital,central,-0.008982673287391663
aec,alpha,occipital,parietal,-0.14219532907009125
aec,alpha,occipital,occipital,-0.12596362829208374
aec,alpha,occipital,temporal,0.009297333657741547
aec,alpha,temporal,frontal,-0.05027758330106735
aec,alpha,temporal,frontal_central,0.13808393478393555
aec,alpha,temporal,central,0.12476935982704163
aec,alpha,temporal,parietal,0.013684220612049103
aec,alpha,temporal,occipital,0.009297333657741547
aec,alpha,temporal,temporal,0.11735431104898453
aec,beta,frontal,frontal,0.007593400776386261
aec,beta,frontal,frontal_central,0.03646652400493622
aec,beta,frontal,central,0.01144387573003769
aec,beta,frontal,parietal,-0.05334923043847084
aec,beta,frontal,occipital,-0.025457989424467087
aec,beta,frontal,temporal,0.012068837881088257
aec,beta,frontal_central,frontal,0.03646652400493622
aec,beta,frontal_central,frontal_central,0.05175351724028587
aec,beta,frontal_central,central,-0.05201530456542969
aec,beta,frontal_central,parietal,-0.008315019309520721
aec,beta,frontal_central,occipital,0.009567387402057648
aec,beta,frontal_central,temporal,0.03381811082363129
aec,beta,central,frontal,0.01144387573003769
aec,beta,central,frontal_central,-0.05201530456542969
aec,beta,central,central,-0.0829668864607811
aec,beta,central,parietal,-0.021254029124975204
aec,beta,central,occipital,0.0427175834774971
aec,beta,central,temporal,-0.028134800493717194
aec,beta,parietal,frontal,-0.05334923043847084
aec,beta,parietal,frontal_central,-0.008315019309520721
aec,beta,parietal,central,-0.021254029124975204
aec,beta,parietal,parietal,-0.05429908260703087
aec,beta,parietal,occipital,-0.018536172807216644
aec,beta,parietal,temporal,0.006013553589582443
aec,beta,occipital,frontal,-0.025457989424467087
aec,beta,occipital,frontal_central,0.009567387402057648
aec,beta,occipital,central,0.0427175834774971
aec,beta,occipital,parietal,-0.018536172807216644
aec,beta,occipital,occipital,0.3174460530281067
aec,beta,occipital,temporal,0.04122129827737808
aec,beta,temporal,frontal,0.012068837881088257
aec,beta,temporal,frontal_central,0.03381811082363129
aec,beta,temporal,central,-0.028134800493717194
aec,beta,temporal,parietal,0.006013553589582443
aec,beta,temporal,occipital,0.04122129827737808
aec,beta,temporal,temporal,0.0867602601647377
aec,gamma,frontal,frontal,-0.061208173632621765
aec,gamma,frontal,frontal_central,0.010953299701213837
aec,gamma,frontal,central,0.00613589771091938
aec,gamma,frontal,parietal,-0.0023199301213026047
aec,gamma,frontal,occipital,0.005455508828163147
aec,gamma,frontal,temporal,-0.028218090534210205
aec,gamma,frontal_central,frontal,0.010953299701213837
aec,gamma,frontal_central,frontal_central,0.03302023559808731
aec,gamma,frontal_central,central,0.02193690463900566
aec,gamma,frontal_central,parietal,-0.013383211567997932
aec,gamma,frontal_central,occipital,-0.012874193489551544
aec,gamma,frontal_central,temporal,-0.011705148965120316
aec,gamma,central,frontal,0.00613589771091938
aec,gamma,central,frontal_central,0.02193690463900566
aec,gamma,central,central,-0.007290861569344997
aec,gamma,central,parietal,0.01809718832373619
aec,gamma,central,occipital,-0.007468848489224911
aec,gamma,central,temporal,-0.03177730739116669
aec,gamma,parietal,frontal,-0.0023199301213026047
aec,gamma,parietal,frontal_central,-0.013383211567997932
aec,gamma,parietal,central,0.01809718832373619
aec,gamma,parietal,parietal,-0.07667769491672516
aec,gamma,parietal,occipital,-0.009879431687295437
aec,gamma,parietal,temporal,0.03501252830028534
aec,gamma,occipital,frontal,0.005455508828163147
aec,gamma,occipital,frontal_central,-0.012874193489551544
aec,gamma,occipital,central,-0.007468848489224911
aec,gamma,occipital,parietal,-0.009879431687295437
aec,gamma,occipital,occipital,0.13050973415374756
aec,gamma,occipital,temporal,0.03710850700736046
aec,gamma,temporal,frontal,-0.028218090534210205
aec,gamma,temporal,frontal_central,-0.011705148965120316
aec,gamma,temporal,central,-0.03177730739116669
aec,gamma,temporal,parietal,0.03501252830028534
aec,gamma,temporal,occipital,0.03710850700736046
aec,gamma,temporal,temporal,0.0578484982252121
