interpretation_status,scenario,metric,band,connection,network_category,direction,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,n_subjects,reliability_flag
exploratory_trend,first_click_miss,aec,beta,frontal_central-parietal,fronto-parietal_control,increase,0.0224467366933822,1.4191861452225154,0.0050979015423645,0.1070559323896547,0.0078125,0.1640625,0.0049751243781094,8,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,frontal-central,other,increase,0.0840766951441764,1.1345884609923915,0.0093085106387733,0.1093282500267763,0.01953125,0.13671875,0.0248756218905472,9,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,frontal-frontal_central,other,increase,0.0698826983571052,1.1094007495479872,0.0104122142882644,0.1093282500267763,0.01171875,0.123046875,0.0049751243781094,9,usable_n
exploratory_trend,coupon_min_spend,wpli,theta,central-central,other,decrease,-0.0624067038297653,-1.2636991373779145,0.0053035255943893,0.1113740374821758,0.01171875,0.205078125,0.0199004975124378,9,usable_n
exploratory_trend,slow_image,wpli,alpha,frontal-temporal,other,increase,0.0227135047316551,1.2522000739530732,0.0055713600920938,0.1169985619339717,0.00390625,0.08203125,0.0049751243781094,9,usable_n
exploratory_trend,first_click_miss,aec,beta,occipital-temporal,visual_occipital,increase,0.0237993448972702,1.1604008107459198,0.013447913340627,0.1412030900765843,0.0234375,0.24609375,0.0298507462686567,8,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,occipital-temporal,visual_occipital,increase,0.0921110361814498,0.9122499460758968,0.0255774353485811,0.1431963570397531,0.00390625,0.08203125,0.0099502487562189,9,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,frontal-occipital,default-mode_attention_reorientation,increase,0.107687771320343,0.8212464314672613,0.0390901913585365,0.1431963570397531,0.0390625,0.1640625,0.0547263681592039,9,usable_n
exploratory_trend,coupon_min_spend,aec,alpha,frontal_central-temporal,other,increase,0.0639207735657692,0.819026197179093,0.0394983088021236,0.1431963570397531,0.0546875,0.1708984375,0.0348258706467661,9,usable_n
exploratory_trend,slow_image,wpli,gamma,frontal_central-parietal,other,decrease,-0.0194027088582515,-1.2007684843358326,0.006958963966282,0.1461382432919231,0.01171875,0.24609375,0.0149253731343283,9,usable_n
exploratory_trend,first_click_miss,aec,gamma,frontal-parietal,other,increase,0.0156392846256494,1.1849732926631624,0.0122237887855317,0.148576662834735,0.015625,0.24609375,0.0248756218905472,8,usable_n
exploratory_trend,first_click_miss,aec,gamma,parietal-temporal,parietal_temporal,decrease,-0.0146163702011108,-1.1473647255620398,0.0141501583652128,0.148576662834735,0.0234375,0.24609375,0.0099502487562189,8,usable_n
exploratory_trend,coupon_min_spend,wpli,theta,frontal_central-parietal,fronto-parietal_control,increase,0.0388084575533866,1.0280456992708022,0.0150224154780923,0.1577353625199699,0.01953125,0.205078125,0.0199004975124378,9,usable_n
exploratory_trend,broken_image,aec,gamma,frontal_central-temporal,other,increase,0.0422787405550479,1.1827652922918812,0.0075281367359647,0.1580908714552594,0.01953125,0.41015625,0.0099502487562189,9,usable_n
exploratory_trend,button_delay,aec,beta,occipital-temporal,visual_occipital,decrease,-0.0361431874334812,-1.2720143612626924,0.0151276120460903,0.1588399264839485,0.015625,0.1640625,0.0199004975124378,7,usable_n
exploratory_trend,first_click_miss,aec,theta,central-occipital,visual_occipital,increase,0.0423631519079208,1.0970440996707191,0.0172517875788375,0.1629215899723683,0.0390625,0.1276041666666666,0.0497512437810945,8,usable_n
