metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects,connection,abs_d,network_category,reliability_flag,permutation_support
wpli,coupon_min_spend,theta,central,central,-0.0624067038297653,-1.2636991373779145,0.0053035255943893,0.1113740374821758,0.01171875,0.205078125,0.0199004975124378,decrease,False,9,central-central,1.2636991373779145,other,usable_n,True
wpli,slow_image,alpha,frontal,temporal,0.0227135047316551,1.2522000739530732,0.0055713600920938,0.1169985619339717,0.00390625,0.08203125,0.0049751243781094,increase,False,9,frontal-temporal,1.2522000739530732,other,usable_n,True
wpli,slow_image,gamma,frontal_central,parietal,-0.0194027088582515,-1.2007684843358326,0.006958963966282,0.1461382432919231,0.01171875,0.24609375,0.0149253731343283,decrease,False,9,frontal_central-parietal,1.2007684843358326,other,usable_n,True
aec,first_click_miss,gamma,frontal,parietal,0.0156392846256494,1.1849732926631624,0.0122237887855317,0.148576662834735,0.015625,0.24609375,0.0248756218905472,increase,False,8,frontal-parietal,1.1849732926631624,other,usable_n,True
aec,broken_image,gamma,frontal_central,temporal,0.0422787405550479,1.1827652922918812,0.0075281367359647,0.1580908714552594,0.01953125,0.41015625,0.0099502487562189,increase,False,9,frontal_central-temporal,1.1827652922918812,other,usable_n,True
aec,first_click_miss,beta,occipital,temporal,0.0237993448972702,1.1604008107459198,0.013447913340627,0.1412030900765843,0.0234375,0.24609375,0.0298507462686567,increase,False,8,occipital-temporal,1.1604008107459198,visual_occipital,usable_n,True
aec,first_click_miss,gamma,parietal,temporal,-0.0146163702011108,-1.1473647255620398,0.0141501583652128,0.148576662834735,0.0234375,0.24609375,0.0099502487562189,decrease,False,8,parietal-temporal,1.1473647255620398,parietal_temporal,usable_n,True
wpli,facet_reset_once,gamma,frontal_central,parietal,-0.0187755059450864,-1.1440201391767133,0.0231934217086703,0.3239165270745152,0.03125,0.328125,0.0348258706467661,decrease,False,7,frontal_central-parietal,1.1440201391767133,other,usable_n,True
aec,facet_reset_once,beta,frontal,central,-0.0176323037594556,-1.1423138980953405,0.0233285761150381,0.2449500492079007,0.03125,0.328125,0.0348258706467661,decrease,False,7,frontal-central,1.1423138980953405,other,usable_n,True
aec,coupon_min_spend,alpha,frontal,central,0.0840766951441764,1.1345884609923915,0.0093085106387733,0.1093282500267763,0.01953125,0.13671875,0.0248756218905472,increase,False,9,frontal-central,1.1345884609923915,other,usable_n,True
aec,coupon_min_spend,alpha,frontal,frontal_central,0.0698826983571052,1.1094007495479872,0.0104122142882644,0.1093282500267763,0.01171875,0.123046875,0.0049751243781094,increase,False,9,frontal-frontal_central,1.1094007495479872,other,usable_n,True
aec,first_click_miss,theta,central,occipital,0.0423631519079208,1.0970440996707191,0.0172517875788375,0.1629215899723683,0.0390625,0.1276041666666666,0.0497512437810945,increase,False,8,central-occipital,1.0970440996707191,visual_occipital,usable_n,True
wpli,facet_reset_once,gamma,frontal,temporal,-0.0191288497298955,-1.0610535450511565,0.0308663730140488,0.3239165270745152,0.015625,0.328125,0.0099502487562189,decrease,False,7,frontal-temporal,1.0610535450511565,other,usable_n,True
aec,button_delay,beta,temporal,temporal,-0.0346977822482585,-1.056659971661442,0.0313427441601413,0.2193992091209891,0.03125,0.1640625,0.0199004975124378,decrease,False,7,temporal-temporal,1.056659971661442,other,usable_n,True
aec,first_click_miss,theta,frontal,temporal,0.0412227697670459,1.047476172462002,0.0210240448898904,0.1629215899723683,0.0390625,0.1276041666666666,0.0497512437810945,increase,False,8,frontal-temporal,1.047476172462002,other,usable_n,True
aec,network_jitter,theta,central,temporal,0.043488573282957,1.0464114456742697,0.013821196823734,0.0666111034124411,0.01171875,0.0615234375,0.0199004975124378,increase,False,9,central-temporal,1.0464114456742697,other,usable_n,True
wpli,slow_image,theta,frontal,temporal,0.0272440537810325,1.0377501286277182,0.0143746498277373,0.3018676463824848,0.00390625,0.08203125,0.0099502487562189,increase,False,9,frontal-temporal,1.0377501286277182,other,usable_n,True
wpli,coupon_min_spend,theta,frontal_central,parietal,0.0388084575533866,1.0280456992708022,0.0150224154780923,0.1577353625199699,0.01953125,0.205078125,0.0199004975124378,increase,False,9,frontal_central-parietal,1.0280456992708022,fronto-parietal_control,usable_n,True
wpli,skeleton_prolong,alpha,frontal,temporal,-0.0174584724009037,-1.019045121618785,0.0156505149596355,0.3286608141523467,0.02734375,0.287109375,0.0248756218905472,decrease,False,9,frontal-temporal,1.019045121618785,other,usable_n,True
aec,network_jitter,theta,frontal,parietal,0.0440865941345691,1.0161298275723565,0.0158597865267716,0.0666111034124411,0.01953125,0.08203125,0.0348258706467661,increase,False,9,frontal-parietal,1.0161298275723565,fronto-parietal_control,usable_n,True
aec,skeleton_prolong,theta,frontal_central,parietal,-0.0498037673532962,-1.0075349163818044,0.0164939604231584,0.2662258734485205,0.01171875,0.24609375,0.0248756218905472,decrease,False,9,frontal_central-parietal,1.0075349163818044,fronto-parietal_control,usable_n,True
wpli,coupon_min_spend,alpha,frontal,frontal,0.024332633242011,0.9821225317357573,0.018528307098037,0.2039678496019784,0.0078125,0.1640625,0.0199004975124378,increase,False,9,frontal-frontal,0.9821225317357573,other,usable_n,True
aec,first_click_miss,theta,frontal,central,0.0334457196295261,0.979051464410537,0.0277269899141016,0.1629215899723683,0.0390625,0.1276041666666666,0.0248756218905472,increase,False,8,frontal-central,0.979051464410537,other,usable_n,True
aec,feedback_late,alpha,frontal_central,temporal,0.0292390845715999,0.9681751599917972,0.0197541764412598,0.4148377052664566,0.02734375,0.57421875,0.0298507462686567,increase,False,9,frontal_central-temporal,0.9681751599917972,other,usable_n,True
wpli,button_delay,alpha,frontal_central,parietal,0.0137249529361724,0.9680142245159198,0.0428437389814708,0.6095146174705736,0.03125,0.546875,0.0298507462686567,increase,False,7,frontal_central-parietal,0.9680142245159198,other,usable_n,True
wpli,coupon_min_spend,alpha,frontal_central,temporal,0.0273708272725343,0.9658709234728364,0.0199646544503289,0.2039678496019784,0.0390625,0.2734375,0.0248756218905472,increase,False,9,frontal_central-temporal,0.9658709234728364,other,usable_n,True
wpli,first_click_miss,alpha,frontal_central,parietal,0.0096463859081268,0.9536128473763162,0.0307623393217056,0.5250904293904218,0.0546875,0.546875,0.044776119402985,increase,False,8,frontal_central-parietal,0.9536128473763162,other,usable_n,True
wpli,first_click_miss,theta,parietal,parietal,-0.0138297602534294,-0.952134614976174,0.0309490708232853,0.5302139023008016,0.0390625,0.765625,0.0497512437810945,decrease,False,8,parietal-parietal,0.952134614976174,other,usable_n,True
aec,facet_reset_once,theta,frontal,parietal,0.0932696461677551,0.9391794986022256,0.0474932251320137,0.3138625806429302,0.015625,0.328125,0.0199004975124378,increase,False,7,frontal-parietal,0.9391794986022256,fronto-parietal_control,usable_n,True
aec,skeleton_prolong,beta,central,parietal,-0.033840175718069,-0.931835333793884,0.0233591275437736,0.4905416784192463,0.01953125,0.41015625,0.0248756218905472,decrease,False,9,central-parietal,0.931835333793884,sensorimotor,usable_n,True
aec,first_click_miss,beta,frontal_central,central,0.0194792635738849,0.9259137669876436,0.0344652984639528,0.2412570892476697,0.0390625,0.2734375,0.0497512437810945,increase,False,8,frontal_central-central,0.9259137669876436,sensorimotor,usable_n,True
