metric,band,n_tests,n_significant,n_raw_p_lt_05,median_abs_d,max_abs_d,min_fdr_p,median_n_subjects
aec,theta,294,3,22,0.29457494207628804,2.6838094628090583,0.0315228230261329,8.0
aec,gamma,294,2,15,0.20928597270804195,2.369530685836863,0.016069306873197,8.0
aec,beta,294,1,17,0.21636634219055334,1.7800469380538508,0.0316123299452125,8.0
wpli,gamma,294,1,9,0.2201151086652641,1.9097098016878824,0.0182400828322178,8.0
wpli,beta,294,1,8,0.20908275077720107,2.451796516476442,0.0238131139740157,8.0
wpli,theta,294,0,20,0.2316623646398941,2.0762409052596014,0.096246046565082,8.0
wpli,alpha,294,0,16,0.24773471042702216,3.4977938633494263,0.103748044544468,8.0
aec,alpha,294,0,11,0.1795858036269577,2.00165008857572,0.1093282500267763,8.0
