metric,band,roi_a,roi_b,delta
wpli,gamma,frontal,frontal_central,0.0044891005381941795
wpli,gamma,frontal,central,-0.006137841381132603
wpli,gamma,frontal,parietal,-0.01069711335003376
wpli,gamma,frontal,occipital,-0.0035492645110934973
wpli,gamma,frontal,temporal,-0.0030438106041401625
wpli,gamma,frontal_central,frontal,0.0044891005381941795
wpli,gamma,frontal_central,frontal_central,0.005393120925873518
wpli,gamma,frontal_central,central,0.0026420289650559425
wpli,gamma,frontal_central,parietal,-0.004705157596617937
wpli,gamma,frontal_central,occipital,-0.007701363880187273
wpli,gamma,frontal_central,temporal,0.003941088914871216
wpli,gamma,central,frontal,-0.006137841381132603
wpli,gamma,central,frontal_central,0.0026420289650559425
wpli,gamma,central,central,-0.003439949592575431
wpli,gamma,central,parietal,-0.0028726260643452406
wpli,gamma,central,occipital,-0.014555792324244976
wpli,gamma,central,temporal,-0.002732094842940569
wpli,gamma,parietal,frontal,-0.01069711335003376
wpli,gamma,parietal,frontal_central,-0.004705157596617937
wpli,gamma,parietal,central,-0.0028726260643452406
wpli,gamma,parietal,parietal,0.00524560920894146
wpli,gamma,parietal,occipital,0.007072352804243565
wpli,gamma,parietal,temporal,0.00452586030587554
wpli,gamma,occipital,frontal,-0.0035492645110934973
wpli,gamma,occipital,frontal_central,-0.007701363880187273
wpli,gamma,occipital,central,-0.014555792324244976
wpli,gamma,occipital,parietal,0.007072352804243565
wpli,gamma,occipital,occipital,-0.008627474308013916
wpli,gamma,occipital,temporal,0.0031108558177948
wpli,gamma,temporal,frontal,-0.0030438106041401625
wpli,gamma,temporal,frontal_central,0.003941088914871216
wpli,gamma,temporal,central,-0.002732094842940569
wpli,gamma,temporal,parietal,0.00452586030587554
wpli,gamma,temporal,occipital,0.0031108558177948
wpli,gamma,temporal,temporal,-0.0008046627044677734
aec,theta,frontal,frontal,0.04547284543514252
aec,theta,frontal,frontal_central,0.018486471846699715
aec,theta,frontal,central,0.011928186751902103
aec,theta,frontal,parietal,0.04408659040927887
aec,theta,frontal,occipital,0.08582714200019836
aec,theta,frontal,temporal,0.04644712433218956
aec,theta,frontal_central,frontal,0.018486471846699715
aec,theta,frontal_central,frontal_central,0.009046089835464954
aec,theta,frontal_central,central,-0.001150541822426021
aec,theta,frontal_central,parietal,0.033918604254722595
aec,theta,frontal_central,occipital,0.034651730209589005
aec,theta,frontal_central,temporal,0.026225702837109566
aec,theta,central,frontal,0.011928186751902103
aec,theta,central,frontal_central,-0.001150541822426021
aec,theta,central,central,0.00427529402077198
aec,theta,central,parietal,0.010774769820272923
aec,theta,central,occipital,0.02270098775625229
aec,theta,central,temporal,0.04348857328295708
aec,theta,parietal,frontal,0.04408659040927887
aec,theta,parietal,frontal_central,0.033918604254722595
aec,theta,parietal,central,0.010774769820272923
aec,theta,parietal,parietal,0.012717310339212418
aec,theta,parietal,occipital,0.04230041801929474
aec,theta,parietal,temporal,0.03362346440553665
aec,theta,occipital,frontal,0.08582714200019836
aec,theta,occipital,frontal_central,0.034651730209589005
aec,theta,occipital,central,0.02270098775625229
aec,theta,occipital,parietal,0.04230041801929474
aec,theta,occipital,occipital,0.0329718142747879
aec,theta,occipital,temporal,0.05247815325856209
aec,theta,temporal,frontal,0.04644712433218956
aec,theta,temporal,frontal_central,0.026225702837109566
aec,theta,temporal,central,0.04348857328295708
aec,theta,temporal,parietal,0.03362346440553665
aec,theta,temporal,occipital,0.05247815325856209
aec,theta,temporal,temporal,0.02667231671512127
